letters,bin,corrAns
F,0,none
D,0,none
E,0,none
K,0,none
P,0,none
O,0,none
O,1,space
C,0,none
G,0,none
F,0,none
F,0,space
D,0,none
I,0,none
H,0,none
I,0,none
T,0,none
M,0,none
T,0,none
L,0,none
L,1,space
P,0,none
D,0,none
R,0,none
F,0,none
B,0,none
M,0,none
R,0,none
B,0,none
B,1,space
L,0,none
F,0,none
D,0,none
K,0,none
K,1,space
P,0,none
O,0,none
O,1,space
C,0,none
G,0,none
B,0,none
F,0,none
D,0,none
I,0,none
H,0,none
T,0,none
T,1,space
M,0,none
T,0,none
L,0,none
L,1,space
P,0,none
D,0,none
R,0,none
F,0,none
B,0,none
M,0,none
R,0,none
H,0,none
L,0,none
L,1,space
O,1,none
A,,none
K,,none
P,,none
R,,none
L,,none
T,,none
C,,none
B,,none
I,,none
I,,space
H,,none
E,,none
E,1,space
G,,none
O,,none
K,,none
T,,none
P,,none
C,,none
D,,none
A,,none
L,,none
L,1,space
B,,none
M,,none
E,,none
F,,none
I,,none
